EAST,north,DZ
1753831.86,5920802.61,0.740173854
1753833.86,5920802.61,0.329882128
1753795.86,5920804.61,0.47577385
1753797.86,5920804.61,0.996009914
1753799.86,5920804.61,3.210658289
1753801.86,5920804.61,5.409286149
1753803.86,5920804.61,6.3568
1753805.86,5920804.61,6.3568
1753823.86,5920804.61,6.3568
1753825.86,5920804.61,6.3568
1753827.86,5920804.61,4.859691316
1753829.86,5920804.61,3.071973546
1753831.86,5920804.61,1.168462026
1753833.86,5920804.61,0.556663089
1753835.86,5920804.61,0.084795374
1753795.86,5920806.61,0.463924698
1753797.86,5920806.61,0.959868394
1753799.86,5920806.61,3.121655878
1753801.86,5920806.61,5.274695021
1753803.86,5920806.61,6.3568
1753805.86,5920806.61,6.3568
1753825.86,5920806.61,6.3568
1753827.86,5920806.61,6.153504747
1753829.86,5920806.61,4.085079059
1753831.86,5920806.61,1.92567585
1753833.86,5920806.61,0.691412023
1753835.86,5920806.61,0.19597642
1753795.86,5920808.61,0.351888528
1753797.86,5920808.61,0.821005903
1753799.86,5920808.61,2.314960844
1753801.86,5920808.61,4.150969578
1753803.86,5920808.61,5.916986646
1753805.86,5920808.61,6.3568
1753807.86,5920808.61,6.3568
1753825.86,5920808.61,6.3568
1753827.86,5920808.61,6.3568
1753829.86,5920808.61,4.292178663
1753831.86,5920808.61,2.073043234
1753833.86,5920808.61,0.717063491
1753835.86,5920808.61,0.216897138
1753795.86,5920810.61,0.151866452
1753797.86,5920810.61,0.580275449
1753799.86,5920810.61,1.023814167
1753801.86,5920810.61,2.789831235
1753803.86,5920810.61,4.555848302
1753805.86,5920810.61,6.32186537
1753807.86,5920810.61,6.3568
1753821.86,5920810.61,18.6122
1753823.86,5920810.61,18.6122
1753825.86,5920810.61,6.3568
1753827.86,5920810.61,5.433272689
1753829.86,5920810.61,3.608949648
1753831.86,5920810.61,1.576846123
1753833.86,5920810.61,0.629925339
1753835.86,5920810.61,0.145504365
1753797.86,5920812.61,0.278384689
1753799.86,5920812.61,0.675180045
1753801.86,5920812.61,1.428692891
1753803.86,5920812.61,3.194709959
1753805.86,5920812.61,4.960727027
1753807.86,5920812.61,6.3568
1753809.86,5920812.61,6.3568
1753811.86,5920812.61,18.6122
1753813.86,5920812.61,18.6122
1753815.86,5920812.61,18.6122
1753817.86,5920812.61,18.6122
1753819.86,5920812.61,18.6122
1753821.86,5920812.61,18.6122
1753823.86,5920812.61,18.4578862
1753825.86,5920812.61,4.707564006
1753827.86,5920812.61,3.680026688
1753829.86,5920812.61,2.28094823
1753831.86,5920812.61,0.872830403
1753833.86,5920812.61,0.441936256
1753799.86,5920814.61,0.369354364
1753801.86,5920814.61,0.76614972
1753803.86,5920814.61,1.833571616
1753805.86,5920814.61,3.599588684
1753807.86,5920814.61,6.599602641
1753809.86,5920814.61,14.38036675
1753811.86,5920814.61,18.6122
1753813.86,5920814.61,18.6122
1753815.86,5920814.61,18.6122
1753817.86,5920814.61,18.6122
1753819.86,5920814.61,18.52923498
1753821.86,5920814.61,16.89587861
1753823.86,5920814.61,15.26252224
1753825.86,5920814.61,13.62916587
1753827.86,5920814.61,1.707540079
1753829.86,5920814.61,0.883351874
1753831.86,5920814.61,0.555060974
1753833.86,5920814.61,0.173837573
1753799.86,5920816.61,0.063528682
1753801.86,5920816.61,0.460324038
1753803.86,5920816.61,0.857119394
1753805.86,5920816.61,3.413509529
1753807.86,5920816.61,8.054942705
1753809.86,5920816.61,13.74201471
1753811.86,5920816.61,16.35350496
1753813.86,5920816.61,16.22086581
1753815.86,5920816.61,16.08822667
1753817.86,5920816.61,15.95558753
1753819.86,5920816.61,15.28971765
1753821.86,5920816.61,13.70051465
1753823.86,5920816.61,12.06715828
1753825.86,5920816.61,10.43380191
1753827.86,5920816.61,0.688513043
1753829.86,5920816.61,0.459315238
1753831.86,5920816.61,0.181657836
1753801.86,5920818.61,0.154498357
1753803.86,5920818.61,1.404691312
1753805.86,5920818.61,3.642625611
1753807.86,5920818.61,7.148517527
1753809.86,5920818.61,11.03843028
1753811.86,5920818.61,12.76733559
1753813.86,5920818.61,12.63469645
1753815.86,5920818.61,12.50205731
1753817.86,5920818.61,12.36941817
1753819.86,5920818.61,11.88333183
1753821.86,5920818.61,10.50515069
1753823.86,5920818.61,8.871794317
1753825.86,5920818.61,7.238437947
1753827.86,5920818.61,5.605081576
1753829.86,5920818.61,0.014456386
1753799.86,5920820.61,0.016665649
1753801.86,5920820.61,0.36696612
1753803.86,5920820.61,1.424954468
1753805.86,5920820.61,3.258802748
1753807.86,5920820.61,5.589448562
1753809.86,5920820.61,8.056760884
1753811.86,5920820.61,9.181166222
1753813.86,5920820.61,9.048527081
1753815.86,5920820.61,8.91588794
1753817.86,5920820.61,8.7832488
1753819.86,5920820.61,8.398475839
1753821.86,5920820.61,7.282110202
1753823.86,5920820.61,5.676430357
1753825.86,5920820.61,4.043073987
1753827.86,5920820.61,2.78397788
1753801.86,5920822.61,0.229562752
1753803.86,5920822.61,0.927957387
1753805.86,5920822.61,1.975919335
1753807.86,5920822.61,3.520497875
1753809.86,5920822.61,4.98826082
1753811.86,5920822.61,5.594996855
1753813.86,5920822.61,5.462357714
1753815.86,5920822.61,5.329718573
1753817.86,5920822.61,5.197079433
1753819.86,5920822.61,4.876526663
1753821.86,5920822.61,3.948934424
1753823.86,5920822.61,2.837022914
1753825.86,5920822.61,1.622686193
1753827.86,5920822.61,0.408349473
1753803.86,5920824.61,0.113038963
1753805.86,5920824.61,0.791993186
1753807.86,5920824.61,1.561151374
1753809.86,5920824.61,2.24249178
1753811.86,5920824.61,2.485931714
1753813.86,5920824.61,2.387319689
1753815.86,5920824.61,2.288707664
1753817.86,5920824.61,2.190095639
1753819.86,5920824.61,1.984420148
1753821.86,5920824.61,1.395701915
1753823.86,5920824.61,0.44519138
